0.005,124.6
0.01,69.1
0.015,68.4
0.02,65.9
0.025,64.7
0.03,65.9
0.035,64.5
0.04,62.9
0.045,62.9
0.05,64.8
0.055,64.1
0.06,65.2
0.065,64.2
0.07,63.0
0.075,62.9
0.08,62.9
0.085,62.6
0.09,63.1
0.095,64.1
0.1,63.5
0.105,63.4
0.11,62.8
0.115,62.6
0.12,62.6
0.125,62.0
0.13,62.2
0.135,62.4
0.14,61.9
0.145,62.2
0.15,62.3
0.155,62.3
0.16,61.9
0.165,62.4
0.17,62.4
0.175,62.6
0.18,62.6
0.185,62.3
0.19,62.3
0.195,62.4
0.2,62.4
0.205,62.4
0.21,62.5
0.215,62.8
0.22,62.5
0.225,63.1
0.23,62.2
0.235,61.4
0.24,62.0
0.245,61.6
0.25,61.4
