0.051,212.6
0.052,206.7
0.053,210.2
0.054,203.6
0.055,197.1
0.056,205.8
0.057,210.6
0.058,212.2
0.059,194.7
0.06,204.2
0.061,216.0
0.062,218.7
0.063,240.3
0.064,239.6
0.065,229.7
0.066,234.5
0.067,237.2
0.068,248.2
0.069,221.1
0.07,228.5
0.071,229.1
0.072,220.6
0.073,247.9
0.074,232.0
0.075,237.7
0.076,227.3
0.077,233.0
0.078,231.1
0.079,225.4
0.08,237.7
0.081,233.6
0.082,233.4
0.083,233.6
0.084,228.7
0.085,230.2
0.086,232.9
0.087,237.9
0.088,229.2
0.089,240.0
0.09,239.6
0.091,238.3
0.092,233.5
0.093,226.1
0.094,241.2
0.095,220.1
0.096,225.8
0.097,233.1
0.098,251.0
0.099,223.4
0.1,233.9
