0.051,415.2
0.052,448.1
0.053,464.4
0.054,418.9
0.055,429.3
0.056,420.9
0.057,459.7
0.058,457.5
0.059,436.2
0.06,449.2
0.061,429.9
0.062,430.7
0.063,457.3
0.064,454.5
0.065,465.9
0.066,443.9
0.067,449.4
0.068,443.7
0.069,469.0
0.07,479.6
0.071,471.4
0.072,456.7
0.073,466.3
0.074,461.7
0.075,459.1
0.076,461.3
0.077,461.8
0.078,471.6
0.079,442.7
0.08,461.7
0.081,458.4
0.082,453.0
0.083,451.7
0.084,463.9
0.085,455.9
0.086,461.7
0.087,451.3
0.088,435.6
0.089,445.2
0.09,434.4
0.091,472.1
0.092,439.1
0.093,455.5
0.094,468.3
0.095,437.7
0.096,481.8
0.097,467.6
0.098,455.9
0.099,447.8
0.1,487.9
