0.051,66.0
0.052,49.1
0.053,66.8
0.054,67.7
0.055,56.0
0.056,63.7
0.057,61.7
0.058,63.3
0.059,62.4
0.06,63.9
0.061,63.2
0.062,65.7
0.063,35.8
0.064,36.3
0.065,35.9
0.066,35.4
0.067,37.3
0.068,35.9
0.069,36.3
0.07,34.7
0.071,36.2
0.072,35.6
0.073,37.0
0.074,36.2
0.075,36.7
0.076,37.0
0.077,37.5
0.078,35.1
0.079,34.8
0.08,37.7
0.081,34.9
0.082,38.2
0.083,35.3
0.084,37.8
0.085,35.6
0.086,36.6
0.087,35.3
0.088,37.9
0.089,35.8
0.09,36.8
0.091,37.0
0.092,34.7
0.093,36.1
0.094,35.1
0.095,36.7
0.096,36.8
0.097,34.1
0.098,34.9
0.099,36.1
0.1,35.8
