0.051,121.1
0.052,118.0
0.053,97.1
0.054,106.6
0.055,99.7
0.056,102.0
0.057,102.0
0.058,100.1
0.059,101.9
0.06,94.1
0.061,101.8
0.062,97.4
0.063,109.6
0.064,105.7
0.065,105.1
0.066,110.5
0.067,111.7
0.068,106.7
0.069,104.5
0.07,105.2
0.071,108.0
0.072,106.8
0.073,108.2
0.074,106.5
0.075,108.2
0.076,100.1
0.077,107.8
0.078,111.0
0.079,106.8
0.08,103.4
0.081,107.0
0.082,108.1
0.083,106.8
0.084,110.3
0.085,102.8
0.086,105.9
0.087,110.7
0.088,109.4
0.089,108.3
0.09,107.8
0.091,107.5
0.092,106.1
0.093,110.7
0.094,107.4
0.095,106.7
0.096,104.8
0.097,108.5
0.098,108.5
0.099,106.8
0.1,104.9
